Trait,Score,Percentage
none,"0",0.00%
Light Green,"2050",20.50%
Light Blue,"1985",19.85%
Orange,"1001",10.01%
Rose,967,9.67%
Brown,611,6.11%
Dark Green,493,4.93%
Pink,467,4.67%
Purple,401,4.01%
Dark Blue,373,3.73%
Maroon,325,3.25%
Khaki,319,3.19%
Blue,314,3.14%
Light Gradient,218,2.18%
Blue Electric,107,1.07%
Green Yellow Gradient,104,1.04%
Rose Orange Gradient,94,0.94%
Green Purple Gradient,87,0.87%
Gold Electric,84,0.84%
N/A,0,0.00%
