Trait,Score,%
Brown,"3,162",31.62%
Light Blue,"1,184",11.84%
White,"1,100",11.00%
Red,929,9.29%
Rainbow,535,5.35%
Wolverine Light Brown,516,5.16%
Cruella,348,3.48%
Wolverine Brown,342,3.42%
Wolverine Orange,320,3.20%
N/A,301,3.01%
Snoop Dog,230,2.30%
Wolverine Black,190,1.90%
Wolverine Blue,187,1.87%
Papaya,169,1.69%
Pharaoh,138,1.38%
Davy Jones,137,1.37%
Rick,109,1.09%
Gold,103,1.03%
