Trait,Score,%
none,"0",0.00%
Base,"1315",13.15%
Base Smile,"1237",12.37%
Cute Smile,"1121",11.21%
Stressed,974,9.74%
Smile,948,9.48%
Vampire,573,5.73%
Cute with nose,573,5.73%
Base With Tooth,571,5.71%
Surprised,438,4.38%
Hunter,405,4.05%
Mouth Opened,373,3.73%
Ooops,303,3.03%
N/A,301,3.01%
With Tongue,270,2.70%
Happy,217,2.17%
Sad,201,2.01%
Shy Expression,180,1.80%
