Trait,Score,Percentage
none,"0",0.00%
Neutral,"2993",29.93%
Timid,998,9.98%
Shy,982,9.82%
Suspicious,786,7.86%
Surprised,615,6.15%
Creepy,614,6.14%
Crying,604,6.04%
Enthusiastic,481,4.81%
Sad,470,4.70%
Worried,420,4.20%
Savage,403,4.03%
Angry,223,2.23%
Tear,216,2.16%
Cute,195,1.95%
N-A,0,0.00%
