Trait,Score,%
none,"0",0.00%
N/A,"6466",64.66%
Empty,"1410",14.10%
Rayban Blue,206,2.06%
Rayban White,176,1.76%
Round Green,145,1.45%
Meme,145,1.45%
Round Blue,131,1.31%
Button,127,1.27%
Rayban Black,124,1.24%
Round,124,1.24%
Classic Round,119,1.19%
Harry Potter,110,1.10%
Monocle,104,1.04%
Fashion Pink,102,1.02%
Thin,98,0.98%
Cyborg,95,0.95%
Pink Round,94,0.94%
Fashion,89,0.89%
Fashion Orange,70,0.70%
Fashion Green,65,0.65%
