Trait,Score,%
Yellow,"3,090",30.90%
White,792,7.92%
Green,758,7.58%
Red,721,7.21%
Light Green,609,6.09%
Black,540,5.40%
Ben Rocks,532,5.32%
Flowers,500,5.00%
Hell Boy,491,4.91%
Skittles,488,4.88%
Dalmatian,432,4.32%
Thanos,350,3.50%
Mumia,298,2.98%
Panda,294,2.94%
Gold,105,1.05%
N/A,0,0.00%
